Region,Country,Year,Brand,Tier 1,Tier 2,Tier 3,Pep (%),Budget,Pep Budget,Bottler Budget,Category
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Agency Fees,Creative Agency Fees,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Agency Fees,In Store and POS Design/Development,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Agency Fees,Media Agency Fees,100.0,36991581,36991581,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Agency Fees,Other Agency Fees,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Agency Fees,Social Media/Influence Marketing,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Innovation and Insight,Innovation,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Innovation and Insight,Market Research,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Innovation and Insight,Other Innovation and Insight,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Insight,Advanced Analytics,100.0,59491614,59491614,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Insight,Brand Building,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Insight,Consumer Tracking,100.0,29364450,29364450,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Insight,Customer / Retail and Insights and Analytics,100.0,762713,762713,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Insight,Foundational Data / Systems,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Insight,Innovation Insights,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Insight,Strategic Insights,100.0,18686468,18686468,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Other Non Working,All Other Non Working,100.0,94576413,94576413,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Other Non Working,NW-Cross Charges,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Other Non Working,NW-Excluded non-A&M Items,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Other Non Working,NW-Fall In / Fall Out,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Other Non Working,Out of Scope Countries ( D8 Gastos),0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Package Design,Other Package Design,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Non-Working,Package Design,Package Design,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Consumer Promotions,Consumer Promotions Execution,0.0,1456781853,0,1456781853,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Consumer Promotions,Coupons (Redemption),0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Consumer Promotions,Other Consumer Promotions,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Consumer Promotions,Premiums,100.0,62923823,62923823,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,In Store & POS Execution,In-Store and POS Execution,100.0,116313734,116313734,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,In Store & POS Execution,Other In-Store and POS Execution,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Media Placements,Digital Media,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Media Placements,Media Placements,100.0,311186908,311186908,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Media Placements,Other Media,100.0,1906782,1906782,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Other Working,All Other Working,100.0,27076311,27076311,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Other Working,W-Cross Charges,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Other Working,W-Excluded non-A&M Items,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Other Working,W-Fall In / Fall Out,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Sampling,Other Sampling,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Sampling,Product Samples,100.0,1143688,1143688,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Sampling,Sample Executing,100.0,16398329,16398329,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Sponsorships,Other Sponsorships,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,Pull-Working,Sponsorships,Sponsorships,100.0,138813768,138813768,0,CSD
LAB Mexico,Mexico,2025,Pepsi,STB - Push,Capability Building/Other,Capability Building,0.0,45381042,0,45381042,CSD
LAB Mexico,Mexico,2025,Pepsi,STB - Push,Capability Building/Other,Capability Building/Other-Other,0.0,0,0,0,CSD
LAB Mexico,Mexico,2025,Pepsi,STB - Push,Trade Equipment,On Premise Equipment,0.0,52245841,0,52245841,CSD
